Date,FFR
1887-01-20,10463.89
1887-01-21,10464.94
1887-01-24,10465.99
1887-01-25,10467.04
1887-01-26,10468.09
1887-01-27,10469.14
1887-01-28,10470.19
1887-01-31,10471.24
1887-02-01,10472.29
1887-02-02,10473.35
1887-02-03,10474.4
1887-02-04,10475.45
1887-02-07,10476.5
1887-02-08,10477.56
1887-02-09,10478.61
1887-02-10,10479.67
1887-02-11,10480.72
1887-02-14,10481.78
1887-02-15,10482.83
1887-02-16,10483.89
1887-02-17,10484.95
1887-02-18,10486.01
1887-02-21,10487.07
1887-02-23,10488.12
1887-02-24,10489.18
1887-02-25,10490.24
1887-02-28,10491.31
1887-03-01,10492.37
1887-03-02,10493.43
1887-03-03,10494.49
1887-03-04,10495.55
1887-03-07,10496.62
1887-03-08,10497.68
1887-03-09,10498.74
1887-03-10,10499.81
1887-03-11,10500.87
1887-03-14,10501.93
1887-03-15,10503
1887-03-16,10504.06
1887-03-17,10505.13
1887-03-18,10506.19
1887-03-21,10507.26
1887-03-22,10508.33
1887-03-23,10509.39
1887-03-24,10510.46
1887-03-25,10511.53
1887-03-28,10512.59
1887-03-29,10513.66
1887-03-30,10514.73
1887-03-31,10515.8
1887-04-01,10516.86
1887-04-04,10517.93
1887-04-05,10519
1887-04-06,10520.07
1887-04-07,10521.14
1887-04-11,10522.21
1887-04-12,10523.28
1887-04-13,10524.35
1887-04-14,10525.42
1887-04-15,10526.5
1887-04-18,10527.57
1887-04-19,10528.64
1887-04-20,10529.71
1887-04-21,10530.78
1887-04-22,10531.86
1887-04-25,10532.93
1887-04-26,10534
1887-04-27,10535.08
1887-04-28,10536.15
1887-04-29,10537.22
1887-05-02,10538.3
1887-05-03,10539.37
1887-05-04,10540.45
1887-05-05,10541.53
1887-05-06,10542.6
1887-05-09,10543.68
1887-05-10,10544.75
1887-05-11,10545.83
1887-05-12,10546.91
1887-05-13,10547.98
1887-05-16,10549.06
1887-05-17,10550.14
1887-05-18,10551.22
1887-05-19,10552.3
1887-05-20,10553.38
1887-05-23,10554.46
1887-05-24,10555.53
1887-05-25,10556.61
1887-05-26,10557.69
1887-05-27,10558.77
1887-05-31,10559.86
1887-06-01,10560.94
1887-06-02,10562.02
1887-06-03,10563.1
1887-06-06,10564.18
1887-06-07,10565.27
1887-06-08,10566.35
1887-06-09,10567.43
1887-06-10,10568.52
1887-06-13,10569.6
1887-06-14,10570.69
1887-06-15,10571.78
1887-06-16,10572.86
1887-06-17,10573.95
1887-06-20,10575.04
1887-06-21,10576.13
1887-06-22,10577.21
1887-06-23,10578.3
1887-06-24,10579.39
1887-06-27,10580.48
1887-06-28,10581.57
1887-06-29,10582.67
1887-06-30,10583.76
1887-07-01,10584.85
1887-07-05,10585.94
1887-07-06,10587.03
1887-07-07,10588.13
1887-07-08,10589.22
1887-07-11,10590.31
1887-07-12,10591.41
1887-07-13,10592.5
1887-07-14,10593.6
1887-07-15,10594.69
1887-07-18,10595.79
1887-07-19,10596.88
1887-07-20,10597.98
1887-07-21,10599.08
1887-07-22,10600.17
1887-07-25,10601.27
1887-07-26,10602.37
1887-07-27,10603.46
1887-07-28,10604.56
1887-07-29,10605.66
1887-08-01,10606.76
1887-08-02,10607.86
1887-08-03,10608.96
1887-08-04,10610.05
1887-08-05,10611.15
1887-08-08,10612.25
1887-08-09,10613.35
1887-08-10,10614.45
1887-08-11,10615.56
1887-08-12,10616.66
1887-08-15,10617.76
1887-08-16,10618.86
1887-08-17,10619.96
1887-08-18,10621.06
1887-08-19,10622.17
1887-08-22,10623.27
1887-08-23,10624.37
1887-08-24,10625.48
1887-08-25,10626.58
1887-08-26,10627.68
1887-08-29,10628.79
1887-08-30,10629.89
1887-08-31,10631
1887-09-01,10632.1
1887-09-02,10633.21
1887-09-06,10634.32
1887-09-07,10635.42
1887-09-08,10636.53
1887-09-09,10637.64
1887-09-12,10638.74
1887-09-13,10639.85
1887-09-14,10640.96
1887-09-15,10642.07
1887-09-16,10643.18
1887-09-19,10644.28
1887-09-20,10645.39
1887-09-21,10646.5
1887-09-22,10647.61
1887-09-23,10648.72
1887-09-26,10649.83
1887-09-27,10650.95
1887-09-28,10652.06
1887-09-29,10653.17
1887-09-30,10654.28
1887-10-03,10655.39
1887-10-04,10656.5
1887-10-05,10657.62
1887-10-06,10658.73
1887-10-07,10659.85
1887-10-10,10660.96
1887-10-11,10662.08
1887-10-12,10663.19
1887-10-13,10664.31
1887-10-14,10665.42
1887-10-17,10666.54
1887-10-18,10667.66
1887-10-19,10668.78
1887-10-20,10669.9
1887-10-21,10671.02
1887-10-24,10672.14
1887-10-25,10673.26
1887-10-26,10674.38
1887-10-27,10675.5
1887-10-28,10676.62
1887-10-31,10677.74
1887-11-01,10678.86
1887-11-02,10679.99
1887-11-03,10681.11
1887-11-04,10682.23
1887-11-07,10683.36
1887-11-09,10684.48
1887-11-10,10685.61
1887-11-11,10686.73
1887-11-14,10687.86
1887-11-15,10688.98
1887-11-16,10690.11
1887-11-17,10691.24
1887-11-18,10692.36
1887-11-21,10693.49
1887-11-22,10694.62
1887-11-23,10695.75
1887-11-25,10696.87
1887-11-28,10698
1887-11-29,10699.13
1887-11-30,10700.26
1887-12-01,10701.39
1887-12-02,10702.52
1887-12-05,10703.65
1887-12-06,10704.78
1887-12-07,10705.91
1887-12-08,10707.04
1887-12-09,10708.17
1887-12-12,10709.31
1887-12-13,10710.44
1887-12-14,10711.57
1887-12-15,10712.7
1887-12-16,10713.84
1887-12-19,10714.97
1887-12-20,10716.1
1887-12-21,10717.24
1887-12-22,10718.37
1887-12-23,10719.51
1887-12-27,10720.64
1887-12-28,10721.78
1887-12-29,10722.91
1887-12-30,10724.05
1888-01-03,10725.18
1888-01-04,10726.32
1888-01-05,10727.45
1888-01-06,10728.59
1888-01-09,10729.72
1888-01-10,10730.86
1888-01-11,10731.99
1888-01-12,10733.13
1888-01-13,10734.26
1888-01-16,10735.39
1888-01-17,10736.53
1888-01-18,10737.66
1888-01-19,10738.79
1888-01-20,10739.93
1888-01-23,10741.06
1888-01-24,10742.19
1888-01-25,10743.32
1888-01-26,10744.45
1888-01-27,10745.58
