Date,UPRO
2012-02-24,26912.26
2012-02-27,27033.75
2012-02-28,27290.62
2012-02-29,26929.61
2012-03-01,27408.64
2012-03-02,27158.71
2012-03-05,26804.65
2012-03-06,25610.55
2012-03-07,26159
2012-03-08,26943.5
2012-03-09,27245.49
2012-03-12,27255.91
2012-03-13,28751.99
2012-03-14,28633.97
2012-03-15,29102.59
2012-03-16,29293.5
2012-03-19,29609.38
2012-03-20,29328.21
2012-03-21,29203.25
2012-03-22,28550.66
2012-03-23,28831.83
2012-03-26,30032.87
2012-03-27,29765.59
2012-03-28,29328.21
2012-03-29,29168.54
2012-03-30,29432.35
2012-04-02,30161.3
2012-04-03,29807.24
2012-04-04,28944.02
2012-04-05,28876.96
2012-04-09,27929.32
2012-04-10,26495.71
2012-04-11,27054.58
2012-04-12,28231.31
2012-04-13,27155.24
2012-04-16,27078.87
2012-04-17,28300.74
2012-04-18,28033.46
2012-04-19,27512.77
2012-04-20,27627.32
2012-04-23,26953.91
2012-04-24,27266.32
2012-04-25,28394.46
2012-04-26,28956.8
2012-04-27,29088.7
2012-04-30,28731.17
2012-05-01,29272.68
2012-05-02,29043.58
2012-05-03,28404.87
2012-05-04,27005.98
2012-05-07,27044.16
2012-05-08,26721.34
2012-05-09,26224.96
2012-05-10,26395.05
2012-05-11,26152.06
2012-05-14,25294.67
2012-05-15,24867.72
2012-05-16,24579.61
2012-05-17,23437.58
2012-05-18,22857.89
2012-05-21,24055.45
2012-05-22,24083.22
2012-05-23,24183.89
2012-05-24,24350.51
2012-05-25,24132.17
2012-05-29,24982.27
2012-05-30,23881.89
2012-05-31,23746.52
2012-06-01,21944.96
2012-06-04,21938.02
2012-06-05,22361.51
2012-06-06,23944.38
2012-06-07,23933.96
2012-06-08,24517.12
2012-06-11,23607.67
2012-06-12,24444.23
2012-06-13,23938.37
2012-06-14,24708.04
2012-06-15,25416.17
2012-06-18,25572.37
2012-06-19,26332.91
2012-06-20,26195.78
2012-06-21,24442.22
2012-06-22,25001.27
2012-06-25,23778.99
2012-06-26,24164.42
2012-06-27,24831.13
2012-06-28,24598.47
2012-06-29,26470.1
2012-07-02,26661.08
2012-07-03,27199.3
2012-07-05,26817.34
2012-07-06,26056.88
2012-07-09,25977.02
2012-07-10,25289.48
2012-07-11,25279.06
2012-07-12,24952.66
2012-07-13,26181.89
2012-07-16,25963.13
2012-07-17,26522.18
2012-07-18,27126.38
2012-07-19,27310.42
2012-07-20,26570.8
2012-07-23,25758.26
2012-07-24,25126.28
2012-07-25,25105.44
2012-07-26,26338.15
2012-07-27,27845.17
2012-07-30,27782.66
2012-07-31,27401.05
2012-08-01,27192.36
2012-08-02,26588.16
2012-08-03,28164.63
2012-08-06,28303.52
2012-08-07,28730.63
2012-08-08,28855.64
2012-08-09,28935.5
2012-08-10,29063.98
2012-08-13,29025.78
2012-08-14,29046.62
2012-08-15,29123.01
2012-08-16,29751.51
2012-08-17,29898.05
2012-08-20,29907.77
2012-08-21,29633.45
2012-08-22,29633.45
2012-08-23,28942.45
2012-08-24,29473.72
2012-08-27,29473.72
2012-08-28,29383.44
2012-08-29,29442.47
2012-08-30,28807.02
2012-08-31,29188.99
2012-09-04,29050.09
2012-09-05,29060.51
2012-09-06,30807.12
2012-09-07,31216.87
2012-09-10,30675.17
2012-09-11,30911.3
2012-09-12,31206.45
2012-09-13,32706.53
2012-09-14,33109.32
2012-09-17,32814.17
2012-09-18,32696.11
2012-09-19,32748.19
2012-09-20,32744.72
2012-09-21,32675.27
2012-09-24,32532.91
2012-09-25,31531.12
2012-09-26,30970.33
2012-09-27,31880.1
2012-09-28,31383.54
2012-10-01,31591.89
2012-10-02,31730.78
2012-10-03,32116.22
2012-10-04,32839.87
2012-10-05,32800.28
2012-10-08,32449.57
2012-10-09,31515.49
2012-10-10,30952.96
2012-10-11,30984.22
2012-10-12,30605.72
2012-10-15,31435.63
2012-10-16,32369.7
2012-10-17,32800.28
2012-10-18,32560.69
2012-10-19,30859.21
2012-10-22,30925.19
2012-10-23,29659.84
2012-10-24,29404.27
2012-10-25,29650.82
2012-10-26,29591.78
2012-10-31,29511.92
